price,assess,bdrms,lotsize,sqrft
300,349.1,4,6126,2438
370,351.5,3,9903,2076
191,217.7,3,5200,1374
195,231.8,3,4600,1448
373,319.1,4,6095,2514
466.275,414.5,5,8566,2754
332.5,367.8,3,9000,2067
315,300.2,3,6210,1731
206,236.1,3,6000,1767
240,256.3,3,2892,1890
285,314,4,6000,2336
300,416.5,5,7047,2634
405,434,3,12237,3375
212,279.3,3,6460,1899
265,287.5,3,6519,2312
227.4,232.9,4,3597,1760
240,303.8,4,5922,2000
285,305.6,3,7123,1774
268,266.7,3,5642,1376
310,326,4,8602,1835
266,294.3,3,5494,2048
270,318.8,3,7800,2124
225,294.2,3,6003,1768
150,208,4,5218,1732
247,239.7,3,9425,1440
275,294.1,3,6114,1932
230,267.4,3,6710,1932
343,359.9,3,8577,2106
477.5,478.1,7,8400,3529
350,355.3,4,9773,2051
230,217.8,4,4806,1573
335,385,4,15086,2829
251,224.3,3,5763,1630
235,251.9,4,6383,1840
361,354.9,4,9000,2066
190,212.5,4,3500,1702
360,452.4,4,10892,2750
575,518.1,5,15634,3880
209.001,289.4,4,6400,1854
225,268.1,2,8880,1421
246,278.5,3,6314,1662
713.5,655.4,5,28231,3331
248,273.3,4,7050,1656
230,212.1,3,5305,1171
375,354,5,6637,2293
265,252.1,3,7834,1764
313,324,3,1000,2768
417.5,475.5,4,8112,3733
253,256.8,3,5850,1536
315,279.2,4,6660,1638
264,313.9,3,6637,1972
255,279.8,2,15267,1478
210,198.7,3,5146,1408
180,221.5,3,6017,1812
250,268.4,3,8410,1722
250,282.3,4,5625,1780
209,230.7,4,5600,1674
258,287,4,6525,1850
289,298.7,3,6060,1925
316,314.6,4,5539,2343
225,291,3,7566,1567
266,286.4,4,5484,1664
310,253.6,6,5348,1386
471.25,482,5,15834,2617
335,384.3,4,8022,2321
495,543.6,4,11966,2638
279.5,336.5,4,8460,1915
380,515.1,4,15105,2589
325,437,4,10859,2709
220,263.4,3,6300,1587
215,300.4,3,11554,1694
240,250.7,3,6000,1536
725,708.6,5,31000,3662
230,276.3,3,4054,1736
306,388.6,2,20700,2205
425,252.5,3,5525,1502
318,295.2,4,92681,1696
330,359.5,3,8178,2186
246,276.2,4,5944,1928
225,249.8,3,18838,1294
111,202.4,4,4315,1535
268.125,254,3,5167,1980
244,306.8,4,7893,2090
295,318.3,3,6056,1837
236,259.4,3,5828,1715
202.5,258.1,3,6341,1574
219,232,2,6362,1185
242,252,4,4950,1774
